Facility_Name,CMS_Certification_Number,PY2020_Payment_Reduction_Percentage,Total_Performance_Score
CHARING CROSS DIALYSIS,212525,0.01,40
DAVITA - CATONSVILLE,212528,0.005,50
RAI - BALTIMORE-BELTSVILLE,212529,0,67
KIDNEY CARE OF LARGO,212530,0,76
FMC - GREATER BALTIMORE,212531,0,63
FMC - HAGERSTOWN,212534,0,75
US RENAL CARE SILVER HILLS DIALYSIS,212536,0,61
CARROLL COUNTY DIALYSIS,212537,0.005,49
KIDNEY CARE OF LAUREL,212538,0,66
QUALITY CARE DIALYSIS - SOUTHERN MARYLAND,212539,0,67
FMC - LAPLATA,212541,0,68
DAVITA DIALYSIS - MERCY,212542,0.01,43
BERTHA SIRK DIALYSIS CENTER,212543,0,64
IDF - ARUNDEL CENTER,212544,0,77
DAVITA - LANDOVER,212545,0.005,58
BALTIMORE COUNTY DIALYSIS FACILITY,212546,0.01,46
IDF - CALVERT CENTER,212549,0.01,43
GREENSPRING DIALYSIS CENTER,212551,0.005,57
RENAL CARE OF LANHAM,212552,0.01,48
DAVITA - HARBOR PARK DIALYSIS,212556,0.005,56
BMA - SOUTH ANNAPOLIS,212557,0.015,34
ELLICOTT CITY DIALYSIS CENTER LLC,212560,0,66
DAVITA - SOUTHERN MARYLAND,212563,0.015,32
DAVITA - LAKESIDE,212564,0,80
TOTAL RENAL CARE - CHESTERTOWN,212565,0,59
US RENAL CARE OXON HILL DIALYSIS,212566,0,70
FMC OF PORTER DIALYSIS - WHITE MARSH,212568,0,69
FMC - ELKTON,212573,0.005,55
DAVITA - OWINGS MILLS,212574,0.005,57
RENAL TREATMENT CENTER - WHEATON,212576,0,71
US RENAL CARE - NORTH BALTIMORE,212577,0.01,41
FRESENIUS KIDNEY CARE - MANOR CARE,212578,0,69
BMA - FORT WASHINGTON,212583,0,67
BMA - ROCKVILLE,212585,0,94
CADIA DIALYSIS SPRINGBROOK,212586,0.02,25
BMA - WHEATON,212587,0,83
DAVITA - FALLS ROAD,212588,0,79
TAKOMA PARK DIALYSIS,212590,0,65
DAVITA - SILVER SPRING,212593,0,62
DAVITA - BELAIR,212594,0.005,58
25TH STREET DIALYSIS INC,212595,0.005,50
DAVITA - FREDERICK,212598,0,69
FMC OF PORTER DIALYSIS - ROSEDALE,212603,0,77
HARFORD ROAD DIALYSIS CENTER,212605,0,59
FMC OF PORTER DIALYSIS - DUNDALK,212609,0.005,49
FMC - WALDORF,212610,0,74
FMC - PRINCE GEORGES COUNTY DIALYSIS,212611,0,63
DULANEY TOWSON DIALYSIS CENTER,212612,0,68
DAVITA - PASADENA,212613,0,63
RAI - CHILLUM-HYATTSVILLE,212614,0,63
FMC OF PORTER DIALYSIS - PIKESVILLE,212615,0,70
DAVITA - DUNDALK,212616,0,77
FRESENIUS KIDNEY CARE - CROMWELL,212618,0.01,40
US RENAL CARE - CHESAPEAKE,212619,0.01,43
US RENAL CARE - HYATTSVILLE,212620,0.01,41
RIVERTOWNE DIALYSIS CENTER,212621,0,67
ARA - ADELPHI,212622,0.005,49
DAVITA - MIDDLEBROOK DIALYSIS,212625,0,74
"RENAL CARE OF BOWIE, LLC",212626,0.005,57
FMC - ROBINWOOD,212627,0,70
DAVITA - CEDAR LANE,212628,0,60
FMC - SALISBURY,212629,0.005,54
FMC - FORT FOOTE,212630,0,68
GLEN BURNIE DIALYSIS,212631,0.005,55
DAVITA - WINDSOR DIALYSIS,212632,0.005,54
DAVITA - CATONSVILLE NORTH DIALYSIS,212634,0.015,32
PIKESVILLE DIALYSIS,212636,0,64
FMC - ANNE ARUNDEL,212637,0.005,53
GERMANTOWN DIALYSIS,212638,0,75
CAMBRIDGE DIALYSIS CENTER,212639,0,68
"RENAL CARE OF SEAT PLEASANT, LLC",212640,0.005,56
US RENAL CARE - ROCKVILLE,212641,0,68
RENAL CAREPARTNERS - PRINCE FREDERICK,212643,0.015,38
FRESENIUS KIDNEY CARE - BRINTON WOODS,212646,0.01,46
US RENAL CARE - WEST BALTIMORE,212647,0.01,47
ADVANCED DIALYSIS CENTER - EASTON,212649,0.005,57
ABERDEEN DIALYSIS,212650,0,71
IDF - GARRETT DIALYSIS CENTER,212651,0,60
SETON DRIVE DIALYSIS,212653,0,62
BALLENGER CREEK DIALYSIS,212654,0,78
NORTHWEST DIALYSIS CENTER,212655,0,62
ADVANCED DIALYSIS CENTER - ROCKVILLE,212656,0.005,54
DISTRICT HEIGHTS DIALYSIS,212657,0.01,44
KIDNEY HOME CENTER,212659,0.015,37
FMC - SILVER SPRING,212660,0,67
US RENAL CARE OF OLD ALEXANDRIA DIALYSIS,212662,0,66
CALVERTON DIALYSIS,212663,0.005,58
FMC - NORTH SALISBURY,212664,0.01,45
FMC - TAKOMA PARK,212665,0,83
UNIVERSAL DIALYSIS CENTER,212666,0,63
WASHINGTON COUNTY DIALYSIS,212667,0,62
FOREST LANDING DIALYSIS,212668,0,76
FMC - PRINCESS ANNE,212669,0.005,54
FRESENIUS KIDNEY CARE,212670,0,81
"COLDSPRINGS DIALYSIS, LLC",212671,0.01,42
CHARLES COUNTY DIALYSIS,212672,0,65
TOTAL RENAL CARE INC,212673,0,65
GLEN BURNIE HOME TRAINING,212674,0.01,48
WHITNEY DIALYSIS LLC,212675,0.01,41
"FRESENIUS MEDICAL CARE ESSEX DUNDALK, LLC",212676,0,62
"FRESENIUS ANNE ARUNDEL OUTPATIENT DIALYSIS SERVICES, LLC",212677,0.005,54
BROWNWOOD DIALYSIS LLC,212678,0,79
FRESENIUS MEDICAL CARE RANDALLSTOWN LLC,212679,0.015,36
ADC1 INC - PINEVIEW,212680,0.015,37
US RENAL CARE BETHESDA DIALYSIS,212681,0,77
DAVITA-ANNAPOLIS DIALYSIS,212682,0,72
DAVITA - CORAL HILLS DIALYSIS,212683,0,63
LARGO PERITONEAL DIALYSIS,212684,0.02,26
ELLICOTT KIDNEY CENTER LLC,212685,0.005,50
US RENAL CARE NEW CAROLLTON DIALYSIS,212686,0,76
HOME DIALYSIS OF MARYLAND LLC,212687,0.01,47
"NORTHPOINT DIALYSIS, LLC",212688,0.01,42
QUEEN ANNE HOME TRAINING,212689,0,0
EASTERN BOULEVARD DIALYSIS,212691,0,65
FMC - CROSS KEYS,212692,0,78
FMC - LEXINGTON PARK DIALYSIS,212693,0.01,47
NXSTAGE KIDNEY CARE GREENBELT,212694,0,69
FORESTVILLE DIALYSIS,212695,0.005,56
NXSTAGE BALTIMORE WEST LLC,212697,0,0
"BROOK DIALYSIS, LLC",212698,0.005,56
"TOTAL RENAL CARE, INC.",212699,0.005,55
"BIO-MEDICAL APPLICATIONS OF MARYLAND, INC.",212700,0.015,35
"NX STAGE KIDNEY CARE BALTIMORE NORTH, LLC",212701,0,95
"KIDNEY HOME CENTER, LLC",212702,0.01,48
"COURTLAND DIALYSIS, LLC",212703,0.015,33
FMC - BRIGHTSEAT,212704,0,59
FRESENIUS MEDICAL CARE TOWSON,212705,0,60
"BEDELL DIALYSIS, LLC",212706,0.005,57
FRESENIUS KIDNEY CARE CAROLINE STREET,212707,0,61
FRESENIUS KIDNEY CARE FLEET STREET,212708,0,91
FRESENIUS KIDNEY CARE BROADWAY STREET,212709,0,61
GREENBELT HOME TRAINING,212710,0,0
ODENTON DIALYSIS,212711,0,67
FRESENIUS KIDNEY CARE MERRITT BLVD OF DUNDALK,212712,0,65
LARGO TOWN CENTER DIALYSIS,212713,0,68
FRIENDLY FARMS HOME DIALYSIS,212714,0,0
US RENAL CARE FORT WASHINGTON DIALYSIS,212715,0,81
FRESENIUS KIDNEY CARE NASHUA COURT,212716,0,72
FRESENIUS KIDNEY CARE LUTHERAN GREENSPRING DRIVE,212717,0,61
WOODLAWN PERITONEAL DIALYSIS CENTER,212719,0.02,24
MT. RAINIER DIALYSIS,212720,0,68
UNION MEMORIAL DIALYSIS,212721,0.015,31
GOOD SAMARITAN DIALYSIS,212722,0.01,39
FRESENIUS KIDNEY CARE WOLFE STREET PEDIATRICS,212723,0,76
LAUREL LAKES DIALYSIS,212724,0.01,43
RIDGE ROAD DIALYSIS,212725,0,64
"SALISBURY DIALYSIS CENTER, LLC",212726,0,65
FRESENIUS KIDNEY CARE FREDERICK,212727,0.005,56
GAITHERSBURG DIALYSIS,212728,0.01,41
CAPITAL REGION DIALYSIS CLINIC LLC,212729,0.015,29
FRESENIUS KIDNEY CARE GERMANTOWN,212730,0.015,30
EDGEWOOD DIALYSIS,212731,0,81
DALHART DIALYSIS LLC,212732,0,0
GOLDEN MILE DIALYSIS,212733,0,0
HOLY CROSS DIALYSIS CENTER - WOODMORE,213503,0,60
SAINT ELIZABETH'S MEDICAL CENTER OF BOSTON,222303,0.015,38
BERKSHIRE MEDICAL CENTER,222305,0.01,45
MASSACHUSETTS GENERAL HOSPITAL,222306,0,61
BRIGHAM AND WOMEN'S HOSPITAL,222309,0,0
CHILDREN'S HOSPITAL BOSTON,222312,0,80
NANTUCKET COTTAGE HOSPITAL,222315,0.02,2
U-MASS MEMORIAL HEALTH CARE SYSTEMS,222316,0,0
MARTHA'S VINEYARD HOSPITAL,222318,0.005,53
SAINT VINCENT'S HOSPITAL,222319,0.015,29
SOUTH BERKSHIRE COUNTY DIALYSIS CENTER,222321,0.005,54
KIDNEY CENTER,222500,0.005,54
CAPE COD ARTIFICIAL KIDNEY CENTER (BMA CAPE COD),222501,0,77
WESTERN MASS. KIDNEY CENTER (BMA SPRINGFIELD),222502,0,68
HAWTHORN KIDNEY CENTER,222503,0,70
FRESENIUS MEDICAL CARE FRAMINGHAM,222504,0,69
"BROCKTON DIALYSIS CENTER, LLC",222505,0,65
BOSTON DIALYSIS CENTER (BMA BOSTON),222506,0,63
MEDFORD DIALYSIS CENTER (BMA MEDFORD),222507,0,62
"DIALYSIS CLINIC, INC. (DCI BOSTON)",222508,0,70
WESTWOOD DIALYSIS CENTER (BMA WESTWOOD),222511,0,80
NORTH SUBURBAN DIALYSIS CENTER (BMA ESSEX COUNTY),222512,0.01,42
CHICOPEE DIALYSIS CENTER,222513,0,63
SOUTH SUBURBAN DIALYSIS FACILITY,222515,0,63
FALL RIVER KIDNEY CENTER LLC,222516,0,67
WEYMOUTH DIALYSIS,222517,0,59
QUALITY CARE DIALYSIS CENTER,222519,0,64
WOBURN DIALYSIS,222520,0,63
UNIVERSITY DIALYSIS CENTER (BMA OF SHREWSBURY),222521,0.01,47
"PURE LIFE RENAL OF STOUGHTON, LLC",222523,0.005,50
FMC SERVICES OF STONEHAM,222524,0,59
MARY ELIZA MAHONEY DIALYSIS CENTER (BMA OF MASSACHUSETTS),222525,0.005,55
BOSTON DIALYSIS,222526,0.01,43
BROOKLINE DIALYSIS,222529,0,59
NEW BEDFORD DIALYSIS,222530,0,67
NORTHEAST CAMBRIDGE DIALYSIS,222533,0,60
WELLESLEY DIALYSIS,222534,0,64
EAST SPRINGFIELD DIALYSIS (BMA OF MASSACHUSETTS),222535,0,65
"PHYSICIANS DIALYSIS INC., - FITCHBURG",222536,0.005,57
HAMPSHIRE COUNTY DIALYSIS CENTER,222537,0,64
PIONEER VALLEY DIALYSIS CENTER,222538,0.005,52
YANKEE FAMILY DIALYSIS CENTER,222539,0,79
WELLINGTON CIRCLE DIALYSIS CENTER,222542,0,72
SALEM NORTHEAST DIALYSIS,222543,0,66
NORTH ANDOVER RENAL CENTER,222545,0,71
PEABODY DIALYSIS CENTER,222546,0,62
NORWOOD DIALYSIS CENTER,222548,0.01,41
DCI BALL SQUARE,222549,0.005,58
NORTH SHORE REGIONAL DIALYSIS CENTER,222550,0.005,55
FMC DIALYSIS SERVICES OF BLACKSTONE VALLEY,222551,0.01,48
DCI BRIGHAM/FAULKNER,222552,0.005,55
FRESENIUS MEDICAL CARE OF MASHPEE,222553,0,65
BURLINGTON REGIONAL DIALYSIS,222556,0,62
FMC DIALYSIS SERVICES OF PALMER,222557,0,77
DCI WALDEN POND,222559,0,82
SPRINGFIELD DIALYSIS CENTER,222560,0,65
SOUTH COUNTY DIALYSIS CENTER,222561,0,69
FMC OF NEWBURYPORT,222562,0,62
PDI - WORCESTER,222564,0.005,57
FRESENIUS MEDICAL CARE OF METHUEN,222565,0.01,45
FRESENIUS MEDICAL CARE OF PLYMOUTH CORDAGE,222567,0,59
THE DIALYSIS CENTER AT WALTHAM,222568,0,80
FRESENIUS MEDICAL CARE OF MARLBOROUGH,222570,0,76
DIALYSIS CENTER OF WESTERN MASSACHUSETTS,222571,0.005,52
"HERITAGE DIALYSIS CENTER, LLC",222572,0.01,45
TAUNTON REGIONAL DIALYSIS CENTER,222573,0,67
BROCKTON REGIONAL KIDNEY CENTER,222574,0.005,58
US RENAL CARE QUINCY,222576,0,62
FRESENIUS MEDICAL CARE OF WAREHAM,222577,0.005,50
US RENAL CARE FOXBOROUGH DIALYSIS,222579,0,60
"ARA-LUDLOW DIALYSIS, LLC",222580,0,80
ATTLEBORO DIALYSIS CENTER,222581,0.005,51
FRESENIUS MEDICAL CARE MERRIMACK VALLEY,222582,0,61
FRESENIUS MEDICAL CARE OF LOWELL,222583,0.01,47
DIALYSIS CENTER OF ATTLEBORO LLC,222584,0,78
NXSTAGE KIDNEY CARE BOSTON SOUTH LLC,222585,0.005,50
"NXSTAGE BOSTON NORTH, LLC",222586,0,71
FRESENIUS MEDICAL CARE CHELMSFORD,222587,0.005,50
FRESENIUS MEDICAL CARE DANVERS,222588,0.005,57
US RENAL CARE WEYMOUTH DIALYSIS,222589,0,66
FREEDOM CENTER OF WORCESTER,222590,0,61
FRESENIUS MEDICAL CARE OF FAIRHAVEN,222591,0,63
DVA HEALTHCARE OF MASSACHUSETTS INC,222592,0.02,16
AUBURN HEALTH LLC,222593,0,0
BIO-MEDICAL APPLICATIONS OF MASSACHUSETTS INC,222594,0,0
UMASS MEMORIAL MEDICAL CENTER ESRD,223504,0,0
NORTH ADAMS RENAL DIALYSIS SUITE OF BMC,223505,0.01,44
UNIV OF MI DIALYSIS - ADULT,232309,0.015,31
NORTHERN MICHIGAN HOSPITAL,232315,0,65
CHILDRENS HOSPITAL OF MICHIGAN DIALYSIS,232328,0.015,33
DEVOS CHILDRENS HOSP - DIALYSIS UNIT,232345,0,65
PORTAGE HEALTH DIALYSIS CTR,232347,0,75
OAKLAWN DIALYSIS CENTER,232348,0,86
CHIPPEWA DIALYSIS SERVICES,232350,0.015,36
FMC DIALYSIS - LIVONIA,232501,0.005,57
WASHTENAW REGIONAL DIALYSIS CTR,232502,0.01,45
FMC DIALYSIS - EAST DETROIT,232503,0.005,55
GREENFIELD HS - DETROIT WEST PAVILION,232505,0.015,36
GREENFIELD HS - TROY,232506,0.01,46
GREENFIELD HS - DEARBORN,232507,0.005,54
FMC - COLDWATER,232508,0,90
FMC DIALYSIS - PORT HURON,232509,0.005,53
GREENFIELD HS - TAYLOR,232510,0.005,49
DAVITA - NORTH OAKLAND DIALYSIS,232511,0.005,56
CORNERSTONE DIALYSIS OF DAVITA,232512,0.005,50
FMC DIALYSIS - WARREN,232513,0,59
FMC DIALYSIS - ADRIAN,232514,0.005,52
GREENFIELD HS - LIVONIA,232515,0,71
GREENFIELD HS - PONTIAC,232516,0.005,55
FMC - BOTSFORD PARK,232518,0.005,51
BAY AREA REGL DIALYSIS CTR - SAGINAW,232519,0,59
DAVITA - DEARBORN,232520,0.01,45
FMC DIALYSIS - FLINT,232521,0.005,53
FMC DIALYSIS - OWOSSO,232522,0.005,58
FMC DIALYSIS - ROMEO PLANK,232523,0,65
FMC DIALYSIS - MADISON HEIGHTS,232525,0.01,42
FMC DIALYSIS - NORTHWEST DETROIT,232526,0,66
MUNSON DIALYSIS CENTER,232528,0,62
NEW CENTER DIALYSIS OF DAVITA,232529,0.01,43
FMC DIALYSIS - UNIVERSITY,232530,0.005,53
DAVITA - BAY CITY DIALYSIS,232531,0,80
BAY AREA REG DIALYSIS - ESSEXVILLE,232532,0.005,58
GREAT LAKES DIALYSIS - MONROE,232533,0.005,49
DAVITA - WEST BRANCH DIALYSIS,232534,0,59
DAVITA - SOUTHGATE,232535,0.01,39
DAVITA - MOTOR CITY DIALYSIS,232539,0,61
MACOMB KIDNEY CENTER OF DAVITA,232540,0.005,49
DAVITA - MIDLAND DIALYSIS,232541,0,60
DAVITA - REDFORD,232543,0.01,44
GREENFIELD HS - NORTHWEST DETROIT,232544,0.015,34
DAVITA OF DETROIT - KRESGE,232545,0.015,38
FMC - BATTLE CREEK SOUTH,232547,0,93
FMC - EAST LANSING,232548,0,61
NOVI DIALYSIS CENTER OF DAVITA,232549,0,69
DAVITA - GARDEN WEST,232550,0,67
BRIGHTON DIALYSIS OF DAVITA,232551,0,72
FMC DIALYSIS - BRIGHTON,232552,0.005,57
DAVITA - ALPENA DIALYSIS,232553,0,77
FMC DIALYSIS - CLINTON,232554,0.005,49
FMC DIALYSIS - ROMULUS,232555,0,78
DAVITA - GAYLORD DIALYSIS,232556,0.005,57
FMC - ALLEGAN,232559,0,76
FMC - OSHTEMO,232560,0,76
FMC - KALAMAZOO,232561,0,66
DAVITA - MUSKEGON,232562,0,74
DAVITA - GRAND HAVEN,232563,0,83
FMC ROYAL PARK - ZEELAND,232564,0,71
DAVITA - GRAND RAPIDS,232565,0,64
FMC CLYDE PARK - WYOMING,232566,0,63
GREENFIELD HS - EASTPOINTE,232567,0.005,52
YPSILANTI DIALYSIS OF DAVITA,232568,0.005,53
GRAND BLANC DIALYSIS OF DAVITA,232569,0.005,53
DAVITA - HIGHLAND PARK,232570,0.015,38
JACKSON DIALYSIS OF DAVITA,232571,0,59
DAVITA - LUDINGTON,232572,0,79
DAVITA - CASS CITY DIALYSIS,232573,0,76
SOUTHEAST MICHIGAN KIDNEY CENTER,232574,0.015,31
CLARKSTON DIALYSIS OF DAVITA,232575,0,67
MICHIGAN DIALYSIS SERVICES OF ANN ARBOR,232576,0,62
UNIV OF MI DIALYSIS CLINICS - LIVONIA,232577,0,77
STATE FAIR DIALYSIS - DAVITA,232578,0.01,48
FMC DIALYSIS - BEWICK,232580,0.005,56
FMC DIALYSIS - WEST ANN ARBOR,232582,0,68
DAVITA - SCHAEFER DR,232583,0.01,48
DAVITA - CADIEUX,232584,0.015,36
FMC - ESCANABA,232585,0.005,50
SAGINAW DIALYSIS CLINIC - DAVITA,232586,0.015,30
FMC WEST NORTON - MUSKEGON,232587,0,82
DAVITA - GRAND RAPIDS EAST,232588,0.005,57
FMC - MANISTEE,232589,0,82
FMC - CADILLAC,232590,0.005,50
FMC - BALDWIN,232591,0,77
DAVITA - DOWNRIVER KIDNEY CTR,232592,0.005,51
RRC - MT MORRIS,232594,0.005,53
DAVITA - ROMULUS,232596,0.005,54
BAY AREA REGL DIALYSIS CTR - SAGINAW RIVERSIDE,232598,0,66
FMC ROCKFORD PARK - ROCKFORD,232599,0,59
DAVITA - GREENVIEW,232600,0.015,38
FLUSHING DIALYSIS OF DAVITA,232601,0,68
RRC - DAVISON,232602,0,63
SOUTHFIELD WEST DIALYSIS OF DAVITA,232604,0.005,58
DAVISON DIALYSIS OF DAVITA,232605,0.005,53
FMC - THREE RIVERS,232606,0,75
DAVITA - NEWAYGO COUNTY,232607,0,80
FLINT DIALYSIS OF DAVITA,232608,0.01,46
HALLWOOD DIALYSIS OF DAVITA,232609,0.01,40
PARK PLAZA DIALYSIS OF DAVITA,232610,0,71
FMC - BIG RAPIDS,232611,0,75
NW DETROIT DIALYSIS - LAHSER SATELLITE,232612,0.01,41
DAVITA OAK PARK DIALYSIS,232613,0,69
"GREAT LAKES DIALYSIS, LLC",232614,0.015,33
FMC - ST CLAIR SHORES,232615,0.01,44
DAVITA BATTLE CREEK DIALYSIS,232617,0,71
FMC - LANSING,232618,0,74
FRESENIUS MEDICAL CARE - TAYLOR,232619,0.015,38
FMC - TAWAS BAY,232620,0,88
FMC - SOUTH HAVEN,232621,0,91
WESTLAND DIALYSIS OF DAVITA,232622,0,60
FMC - BATTLE CREEK NORTH,232623,0,63
DAVITA - BALLENGER POINTE,232624,0.005,54
FMC - CHARLOTTE,232625,0,77
FMC - KALAMAZOO PD UNIT,232626,0,91
FMC - SHELBY,232627,0.005,58
ROCHESTER HILLS DIALYSIS OF DAVITA,232628,0,59
RRC - LAPEER,232629,0.01,45
FMC - CHESTERFIELD,232630,0,66
DAVITA EAST DEARBORN DIALYSIS,232631,0.005,56
DAVITA - CHELSEA,232632,0,64
FMC - KALAMAZOO EAST,232633,0.005,56
LANSING DIALYSIS OF FMC,232634,0,69
FENTON DIALYSIS OF DAVITA,232635,0,89
COMMERCE TOWNSHIP DIALYSIS OF DAVITA,232637,0,79
DAVITA - IONIA DIALYSIS,232638,0.005,54
DAVITA - KALAMAZOO CENTRAL,232639,0,63
FMC HASTINGS AVE - HOLLAND,232640,0,63
MACOMB REGIONAL DIALYSIS CENTER,232642,0.005,49
GROSSE POINTE DIALYSIS OF DAVITA,232643,0.01,47
RRC - WEST FLINT,232644,0.01,47
KALKASKA DIALYSIS CENTER,232645,0,83
DAVITA - LANSING HOME HHD/PD,232646,0,77
CLINTON TOWNSHIP DIALYSIS OF DAVITA,232647,0,61
FMC - SANDUSKY,232648,0,65
DAVITA - GLADWIN DIALYSIS,232649,0.005,57
FRESENIUS - IRON MOUNTAIN,232650,0,70
FMC - DUNDEE,232651,0,70
DAVITA - DEARBORN AT HOME,232653,0.005,55
FMC - CASS RIVER,232654,0.005,55
FRESENIUS MEDICAL CARE - STURGIS,232655,0,84
DAVITA - ORCHARD SQUARE DIALYSIS,232656,0,59
FMC - CARO DIALYSIS,232657,0,76
WAYNE COUNTY DIALYSIS,232658,0.01,41
FMC - GULL ROAD,232659,0,80
FMS - SHELDON CORNERS,232660,0.005,57
DAVITA WEST BLOOMFIELD DIALYSIS,232661,0,74
FRESENIUS MEDICAL CARE - JACKSON OAKS,232662,0.005,50
DAVITA - BURTON DIALYSIS,232663,0,62
LIBERTY DIALYSIS AT LAKELAND - ROYALTON,232664,0,64
DAVITA - RIVERWOOD DIALYSIS,232665,0,68
"FMS BEAUMONT HEALTH, LLC",232666,0.015,29
FMC - GARDEN CITY,232667,0.005,58
LIBERTY DIALYSIS AT LAKELAND - NILES,232668,0,73
NORTHWEST DETROIT DIALYSIS CENTER LLC,232670,0.01,47
US RENAL CARE WATERVLIET DIALYSIS,232671,0,83
DAVITA - MT MORRIS,232672,0,68
RRC - DAVISON HOME,232673,0.01,41
FRESENIUS MEDICAL CARE - MARQUETTE,232674,0.01,46
DAVITA - MT PLEASANT DIALYSIS,232675,0.005,57
DAVITA - ALMA DIALYSIS,232676,0,64
DAVITA - GREENVILLE DIALYSIS,232677,0,75
DAVITA - APPLE AVE DIALYSIS,232678,0,71
FRESENIUS MEDICAL CARE - LANSING WEST,232679,0,79
TOWN CENTER DIALYSIS - DAVITA,232680,0,59
ELIZABETH C HOSICK DIALYSIS CTR,232681,0,82
FMC - HILLSDALE,232682,0,85
FRESENIUS MEDICAL CARE - HASTINGS,232683,0,72
HARPER WOODS DIALYSIS OF DAVITA,232684,0.005,50
GHS WESTERN REGIONAL HOME DIALYSIS,232685,0,76
RIVERVIEW DIALYSIS OF DAVITA,232686,0.01,47
ANN ARBOR DIALYSIS OF DAVITA,232687,0.01,45
FRESENIUS MEDICAL CARE AT BENTON HARBOR,232688,0.01,42
DAVITA - NORTON SHORES DIALYSIS,232689,0,80
DAVITA - WALKER DIALYSIS,232690,0.01,47
HOME DIALYSIS SPECIALTY CENTER,232691,0.01,45
DAVITA - GRAYLING HOME TRAINING,232692,0,99
DAVITA - BELTLINE HOME TRAINING,232693,0,62
"DEARBORN KIDNEY CENTER, LLC",232694,0.01,39
"GREAT LAKES DIALYSIS WEST, LLC",232695,0.02,27
DAVITA - BLOOMFIELD HILLS HOME TRAINING,232697,0,82
DAVITA - BAD AXE DIALYSIS,232698,0,66
FMC - ST JOHNS,232699,0.005,50
RRC - LAPEER HOME CHOICE DIALYSIS,232700,0.02,21
DAVITA - OAKWOOD RENAL SERVICES,232702,0,63
FMC - KENTWOOD,232703,0,77
DAVITA - RIVERBEND DIALYSIS,232704,0.01,47
DAVITA - ROSCOMMON DIALYSIS,232705,0.005,55
DAVITA - SPARTAN DIALYSIS,232706,0,63
"MICHIGAN METROPOLITAN DIALYSIS, L.L.C.",232707,0,71
DAVITA - STARRWOOD DIALYSIS,232708,0.01,47
FMC - EAST ANN ARBOR HOME DIALYSIS,232709,0,76
DAVITA - STARRWOOD HOME TRAINING,232710,0.01,47
DAVITA - GRAND BLANC HOME TRAINING,232711,0,84
NEPHROLOGY CENTER OF EASTPOINTE LLC,232712,0.005,50
SHOSHONE DIALYSIS LLC,232713,0,86
"TOTAL RENAL CARE, INC.",232714,0,67
"FMS KALAMAZOO, LLC",232715,0.005,49
"OAKLAWN DIALYSIS CENTER OF ALBION, LLC",232716,0,79
PORTOLA DIALYSIS LLC,232717,0,69
KEYSTONE DIALYSIS LLC,232718,0,75
GULCH DIALYSIS LLC,232719,0.005,56
DETROIT KIDNEY CENTER LLC,232720,0.005,56
"BIO-MEDICAL APPLICATIONS OF MICHIGAN, INC.",232721,0,70
LINCOLN PARK KIDNEY CENTER LLC,232722,0,0
BLAUVELT DIALYSIS LLC,232723,0,0
NEHALL DIALYSIS LLC,232724,0,0
"NXKC SAGINAW, LLC",232725,0,0
"RUNSTONE DIALYSIS, LLC",232726,0,0
BIO MEDICAL APPLICATIONS OF MICHIGAN INC,232727,0,0
HOME ADVANTAGE DIALYSIS,232728,0,0
"FMS BEAUMONT HEALTH, LLC",232729,0,0
"FMS BEAUMONT HEALTH, LLC",232730,0,0
"FMS ROCHESTER HILLS, LLC",232731,0,0
"FMS BEAUMONT HEALTH, LLC",232732,0,0
"FMS BEAUMONTH HEALTH, LLC",232733,0,0
WINONA HEALTH SERVICES,242305,0,68
"U OF MN MED CTR, FAIRVIEW - DIALYSIS",242306,0,85
MAYO CLINIC HOSPITAL ROCHESTER,242309,0.01,42
CARRIS HEALTH - RICE MEMORIAL HOSPITAL,242310,0.005,52
SANFORD WORTHINGTON MEDICAL CENTER,242314,0,86
SANFORD DIALYSIS DETROIT LAKES,242318,0.005,56
AVERA MARSHALL,242323,0,0
EDINA DIALYSIS OF DAVITA,242501,0,71
MARSHALL DIALYSIS OF DAVITA,242502,0,80
MINNEAPOLIS DIALYSIS OF DAVITA,242503,0,61
WEST ST PAUL DIALYSIS OF DAVITA,242505,0.005,58
FMC DIALYSIS - GOLDEN VALLEY,242507,0,81
FARIBAULT DIALYSIS OF DAVITA,242508,0,73
FMC DIALYSIS - NORTH SUBURBAN,242510,0,68
MONTEVIDEO DIALYSIS OF DAVITA,242511,0,90
MAPLEWOOD DIALYSIS OF DAVITA,242512,0,80
ST PAUL DIALYSIS OF DAVITA,242513,0.005,49
COON RAPIDS DIALYSIS OF DAVITA,242514,0.01,45
BURNSVILLE DIALYSIS OF DAVITA,242515,0,75
ARDEN HILLS DIALYSIS OF DAVITA,242518,0,65
RED WING DIALYSIS OF DAVITA,242520,0.005,58
FMC DIALYSIS - HUTCHINSON,242521,0,68
REDWOOD FALLS DIALYSIS OF DAVITA,242522,0,95
FMC DIALYSIS - ROSEVILLE,242523,0,76
MINNETONKA DIALYSIS OF DAVITA,242526,0,60
CASS LAKE DIALYSIS OF DAVITA,242528,0,63
FMC DIALYSIS - BUFFALO,242529,0,62
DAVITA - WYOMING DIALYSIS,242531,0,68
FMC DIALYSIS - FERGUS FALLS,242532,0,68
CAPITOL DIALYSIS OF DAVITA,242533,0,64
FMC DIALYSIS - SOUTH MINNEAPOLIS,242534,0.005,58
RIVER CITY DIALYSIS,242535,0,78
WOODBURY DIALYSIS OF DAVITA,242536,0,76
RIVERSIDE DIALYSIS OF DAVITA,242539,0.01,44
PIPESTONE DIALYSIS OF DAVITA,242541,0,85
